molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL2426472,inactive,5.0,O=C(c1ccc(C(=O)N2CCC(C3CCCN3)CC2)cc1)N1CCC(C2CCCN2)CC1,438.61600000000027,2.8950000000000014,2.0,4.0
CHEMBL2426471,inactive,5.0,O=C(c1ccc(C(=O)N2CCC(N3CCC3)CC2)cc1)N1CCC(N2CCC2)CC1,410.56200000000024,2.3072,0.0,4.0
CHEMBL2426462,inactive,5.0,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)C2)cc1)N1CCC(N2CCCC2)CC1,424.5890000000003,2.697300000000001,0.0,4.0
CHEMBL2426368,inactive,5.0,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c(-c2ccccc2)c1)N1CCC(N2CCCC2)CC1,514.7140000000003,4.754400000000005,0.0,4.0
CHEMBL2426476,inactive,5.0,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c(Br)c1)N1CCC(N2CCCC2)CC1,517.5120000000003,3.8499000000000034,0.0,4.0
CHEMBL2426366,inactive,5.0,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c(Cc2ccccc2)c1)N1CCC(N2CCCC2)CC1,528.7410000000002,4.678200000000005,0.0,4.0
CHEMBL2426364,inactive,4.926281649653878,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c(Nc2ccccc2)c1)N1CCC(N2CCCC2)CC1,529.7290000000002,4.831000000000005,1.0,5.0
CHEMBL2426367,inactive,5.0,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c(Oc2ccccc2)c1)N1CCC(N2CCCC2)CC1,530.7130000000002,4.879700000000005,0.0,5.0
CHEMBL2426477,inactive,5.0,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c([N+](=O)[O-])c1)N1CCC(N2CCCC2)CC1,483.6130000000004,2.9956000000000014,0.0,6.0
CHEMBL2426360,inactive,4.97061622231479,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c2ccccc12)N1CCC(N2CCCC2)CC1,488.6760000000004,4.240600000000004,0.0,4.0
CHEMBL2426487,inactive,5.0,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)cc1)N1CCC(C2CCCCC2)CC1,451.65500000000037,4.819500000000005,0.0,3.0
CHEMBL2426490,inactive,5.0,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)cc1)N1CCC(C2CCCN2)CC1,438.61600000000027,2.991200000000002,1.0,4.0
CHEMBL2426491,inactive,5.0,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)cc1)N1CCC(C2CCNCC2)CC1,452.6430000000003,3.238800000000002,1.0,4.0
CHEMBL2426498,inactive,4.8696662315049934,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)cc1)N1CCC(N2CCCC2)CC1,438.6160000000003,3.0874000000000015,0.0,4.0
CHEMBL2426484,inactive,5.0,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)cc1)N1CCC(N2CCCCC2)CC1,452.64300000000037,3.4775000000000027,0.0,4.0
CHEMBL2426485,inactive,5.0,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)cc1)N1CCC(N2CCCCCC2)CC1,466.6700000000004,3.867600000000003,0.0,4.0
CHEMBL2426496,inactive,5.0,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)cc1)N1CCCC(N2CCCC2)CC1,452.64300000000037,3.4775000000000027,0.0,4.0
CHEMBL2424678,inactive,5.0,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)nc1)N1CCC(N2CCCC2)CC1,439.6040000000003,2.4824,0.0,5.0
CHEMBL2426362,inactive,5.0,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)o1)N1CCC(N2CCCC2)CC1,428.57700000000034,2.6804000000000006,0.0,5.0
CHEMBL2426363,inactive,5.0,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)s1)N1CCC(N2CCCC2)CC1,444.6450000000003,3.148900000000002,0.0,5.0
CHEMBL2426474,inactive,4.522878745280337,O=C(c1ccc(C(=O)N2CCC(N3CCCCC3)CC2)cc1)N1CCC(N2CCCCC2)CC1,466.6700000000004,3.867600000000003,0.0,4.0
CHEMBL2426486,inactive,5.0,O=C(c1ccc(C(=O)N2CCC(N3CCOCC3)CC2)cc1)N1CCC(N2CCCC2)CC1,454.61500000000035,2.3237999999999994,0.0,5.0
CHEMBL2426465,inactive,5.0,O=C(c1ccc(C(=O)N2CCC3(CCNC3)C2)cc1)N1CCC(N2CCCC2)CC1,410.5620000000003,2.2125999999999992,1.0,4.0
CHEMBL2426466,inactive,5.0,O=C(c1ccc(C(=O)N2CCC3(CCNC3)CC2)cc1)N1CCC(N2CCCC2)CC1,424.5890000000003,2.6027000000000005,1.0,4.0
CHEMBL2426469,inactive,5.0,O=C(c1ccc(C(=O)N2CCCC(N3CCCC3)CC2)cc1)N1CCCC(N2CCCC2)CC1,466.6700000000004,3.867600000000003,0.0,4.0
CHEMBL2426492,inactive,5.0,O=C(c1ccc(C(=O)N2CCN(C3CCCC3)CC2)cc1)N1CCC(N2CCCC2)CC1,438.6160000000003,3.0874000000000015,0.0,4.0
CHEMBL2426483,inactive,5.0,O=C(c1ccc(CN2CCC(N3CCCC3)CC2)cc1)N1CCC(N2CCCC2)CC1,424.63300000000027,3.4472000000000023,0.0,4.0
CHEMBL2426481,inactive,5.0,O=C(c1ccc(S(=O)(=O)N2CCC(N3CCCC3)CC2)cc1)N1CCC(N2CCCC2)CC1,474.67100000000045,2.6359000000000004,0.0,5.0
CHEMBL2426361,inactive,5.0,O=C(c1ccc2cc(C(=O)N3CCC(N4CCCC4)CC3)ccc2c1)N1CCC(N2CCCC2)CC1,488.67600000000044,4.240600000000004,0.0,4.0
CHEMBL2426497,inactive,5.0,O=C(c1cccc(C(=O)N2CCC(N3CCCC3)CC2)c1)N1CCC(N2CCCC2)CC1,438.6160000000003,3.0874000000000015,0.0,4.0
CHEMBL3134139,inactive,4.522878745280337,O=C(c1cccc(N2CCC(N3CCCC3)CC2)c1)N1CCCC1,327.4720000000001,2.9872000000000014,0.0,3.0
CHEMBL1235119,inactive,4.698970004336019,O=C(c1cncc(Br)c1)N1CCC(N2CCCC2)CC1,338.24900000000025,2.5445,0.0,3.0
CHEMBL3134143,inactive,4.735182176990463,O=C1CCN(CCc2ccc(N3CCC(N4CCCC4)CC3)cc2)C1,341.4990000000002,2.5685000000000002,0.0,4.0
CHEMBL5441134,inactive,4.0,O=C1NCc2ccc(-c3cccc(NC(=O)[C@H]4CCCN(C(=O)c5cc(N6CCCCC6)ccn5)C4)c3)cc21,523.6370000000004,4.473200000000004,2.0,5.0
CHEMBL3134146,inactive,4.522878745280337,OCC1(CO)CN(CCc2ccc(N3CCC(N4CCCC4)CC3)cc2)C1,373.5410000000003,1.580299999999999,2.0,5.0
CHEMBL3134135,inactive,4.522878745280337,c1cc(CCN2CCCC2)cc(N2CCC(N3CCCC3)CC2)c1,327.5160000000002,3.3895000000000026,0.0,3.0
CHEMBL3134136,inactive,4.7121982700697735,c1cc(CN2CCCC2)cc(N2CCC(N3CCCC3)CC2)c1,313.48900000000015,3.347000000000002,0.0,3.0
CHEMBL3134137,inactive,4.522878745280337,c1cc(CN2CCCC2)ccc1CCN1CCCC1,258.409,2.920700000000002,0.0,2.0
CHEMBL3134134,inactive,4.522878745280337,c1cc(N2CCC(N3CCCC3)CC2)ccc1CCCN1CCCC1,341.5430000000002,3.779600000000003,0.0,3.0
CHEMBL3134129,inactive,4.522878745280337,c1cc(N2CCC(N3CCCC3)CC2)ccc1CCN1CC2(COC2)C1,355.5260000000002,2.6259000000000015,0.0,4.0
CHEMBL3134144,inactive,4.522878745280337,c1cc(N2CCC(N3CCCC3)CC2)ccc1CCN1CCC1,313.4890000000001,2.9994000000000014,0.0,3.0
CHEMBL3134128,inactive,4.522878745280337,c1cc(N2CCC(N3CCCC3)CC2)ccc1CCN1CCC2(C1)OCCO2,385.55200000000025,2.7425000000000015,0.0,5.0
CHEMBL3134131,inactive,4.838631997765025,c1cc(N2CCC(N3CCCC3)CC2)ccc1CCN1CCCC1,327.51600000000013,3.3895000000000026,0.0,3.0
CHEMBL3134126,inactive,4.522878745280337,c1cc(N2CCC(N3CCCC3)CC2)ccc1CCN1CCCCC1,341.5430000000002,3.779600000000003,0.0,3.0
CHEMBL3134125,inactive,4.522878745280337,c1cc(N2CCC(N3CCCC3)CC2)ccc1CCN1CCCCCC1,355.5700000000002,4.169700000000003,0.0,3.0
CHEMBL3134127,inactive,4.522878745280337,c1cc(N2CCC(N3CCCC3)CC2)ccc1CCN1CCOCC1,343.51500000000016,2.6259000000000015,0.0,4.0
CHEMBL3134133,inactive,4.522878745280337,c1cc(N2CCC(N3CCCC3)CC2)ccc1CN1CCCC1,313.4890000000001,3.347000000000002,0.0,3.0
CHEMBL3134140,inactive,4.522878745280337,c1cc(N2CCC(N3CCCC3)CC2)ccc1N1CCC(N2CCCC2)CC1,382.5960000000003,3.815800000000003,0.0,4.0
CHEMBL3134132,inactive,4.522878745280337,c1cc(N2CCC(N3CCCCC3)CC2)ccc1CCN1CCCC1,341.5430000000002,3.779600000000003,0.0,3.0
CHEMBL3134141,inactive,4.522878745280337,c1ccc(N2CCC(N3CCCC3)CC2)cc1,230.35499999999993,2.7512000000000008,0.0,2.0
